OLM key,with Secondary Modifier,with Material tag,with Custom Tag,MROLM Group,MROLM Subgroup,MROLM local key,Notes,include on map,reason,low occurance group,OLM data needs fixes
other/clothing,,,,Household,,Abandoned Textile Apparel,"used for discarded clothing and accessories like hair ties, sweat bands, shoelaces, shoes.  i wouldn't put a watch or earrings here, it's mainly for textiles worn.",yes,,no,
other/metal,,,,Piece,,Household or Unknown Metal Piece,"used for household metal or hardware that cannot be distinguished as industrial, unidentifiable metal objects",yes,,no,OLM tag review to parse out industrial debris objects
other/other,,,,Household,,Household misc,used for household that cannot be classed anywhere else duct tape piece that can't be distinguished as industrial would go here,yes,,no,OLM legacy objects need reclassing
other/other,,Wood,,Piece,,Wood Debris,"used to track wood debris that can't be distinguished as industrial, may come as 'picked up' or 'not picked up'",yes,,no,OLM tag review to parse out industrial debris objects
other/other,,,broken glass,Piece,,Broken Glass Piece,used to track single piece broken glass,yes,,no,OLM tag review
other/paper,,,,Piece,,Paper Piece,"used for any paper piece and cardboard piece that doesn't fit into other OLM key such as food/wrapper or food/bag or napkin or tissue, it could be a whole piece of paper like a post it, but when aged and wet it can't be defined so it's other/paper.  ",yes,,no,OLM tag review parse out [Party Litter] objects
other/plastic,,,,Piece,,Plastic Piece,"used for any plastic piece fragment or in some cases whole, that does not fit with any other key.  includes soft, clear, rigid, hard plastic fragments but not polystyrene.",yes,,no,OLM tag review to parse out industrial debris AND other/balloon[Party Litter] objects
other/plastic_bag,,,,Household,,Household Plastic Bag,"used for any plastic bag that cannot be IDd elsewhere such as a garbage bag, soil bag, household bag.",yes,,no,OLM tag review
other/poster,,,,,,other/poster,not used,no,out of scope,no,
pets/dogshit,,,,Fecal,,Pet Waste Unbagged,used to capture loose dog fecal droppings,yes,,no,
pets/dogshit_in_bag,,,,Fecal,,Pet Waste Bagged,used to capture bagged dog feces,yes,,no,
pets/other,,,,Household,,Pet Supplies,"used to capture pet toys, pet related waste like dog food cans, bags, pet paraphernalia",yes,Not a significant data point,yes,
